year,month,brand,model,count
2025,4,BMW,540D XDRIVE,3
2025,4,MERCEDES-BENZ,AMG G 63,3
2025,4,CARTHAGO,MALIBU VAN 640 LE K GT,3
2025,4,BURSTNER GMBH,BC6211,3
2025,4,MINI,JCW ACEMAN E,3
2025,4,PORSCHE,911 CARRERA S,3
2025,4,MERCEDES-BENZ,E 300 DE,3
2025,4,HYMER,ML-T 580 4X4,3
2025,4,HYMER,B-MC T 580,3
2025,4,CHAUSSON,720,3
2025,4,CHAUSSON,630,3
2025,4,BMW,220I,3
2025,4,KNAUS,R06,3
2025,4,BMW,230E XDRIVE ACTIVE TOURER,3
2025,4,MERCEDES-AMG,AMG SL 63 S E PERFORMANCE,3
2025,4,CHAUSSON,777,3
2025,4,CAPRON,T670S/T338T,3
